product_category_name,product_category_name_english,updated_at,_ingested_at,_source_file,_batch_id
perfumaria,perfumery,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
fashion_calcados,fashion_shoes,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
artigos_de_natal,christmas_supplies,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
fraldas_higiene,diapers_and_hygiene,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
eletronicos,electronics,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
construcao_ferramentas_iluminacao,construction_tools_lights,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
cds_dvds_musicais,cds_dvds_musicals,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
consoles_games,consoles_games,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
construcao_ferramentas_seguranca,construction_tools_safety,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
ferramentas_jardim,garden_tools,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
construcao_ferramentas_jardim,costruction_tools_garden,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
pet_shop,pet_shop,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
pcs,computers,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
informatica_acessorios,computers_accessories,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
telefonia,telephony,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
agro_industria_e_comercio,agro_industry_and_commerce,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
moveis_quarto,furniture_bedroom,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
livros_interesse_geral,books_general_interest,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
eletrodomesticos_2,home_appliances_2,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
alimentos_bebidas,food_drink,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
bebes,baby,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
papelaria,stationery,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
instrumentos_musicais,musical_instruments,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
fashion_bolsas_e_acessorios,fashion_bags_accessories,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
cool_stuff,cool_stuff,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
eletrodomesticos,home_appliances,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
livros_tecnicos,books_technical,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
industria_comercio_e_negocios,industry_commerce_and_business,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
bebidas,drinks,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
telefonia_fixa,fixed_telephony,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
eletroportateis,small_appliances,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
sinalizacao_e_seguranca,signaling_and_security,2016-01-01 00:00:00.000000,2026-08-27T05:17:09.287600+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/_reference/product_category_translation.parquet,_reference
